Date,Spread,CCI Value,NBER_Rec
1970-12-31,1.3908198143647788,98.74387,0.0
1971-01-31,1.6872361470234258,98.92701,0.0
1971-02-28,2.3231939556911447,99.06342,0.0
1971-03-31,2.243523807015607,99.16283,0.0
1971-04-30,1.8778266553039464,99.24342,0.0
1971-05-31,2.148108606567731,99.31329000000001,0.0
1971-06-30,1.6454999261971874,99.37062,0.0
1971-07-31,1.1792320170324944,99.40685,0.0
1971-08-31,1.5080543767928738,99.42241999999999,0.0
1971-09-30,1.3278112770818256,99.4637,0.0
1971-10-31,1.3564943611504583,99.60351,0.0
1971-11-30,1.4852558823314703,99.89603000000001,0.0
1971-12-31,1.8226720824894789,100.2331,0.0
1972-01-31,2.493523807015607,100.4671,0.0
1972-02-29,2.8090975893897308,100.4896,0.0
1972-03-31,2.25219787288874,100.4121,0.0
1972-04-30,2.392862455376658,100.3828,0.0
1972-05-31,2.353524928773132,100.5019,0.0
1972-06-30,2.106121668075498,100.6896,0.0
1972-07-31,2.03371250542261,100.8212,0.0
1972-08-31,2.0923242179278434,100.7926,0.0
1972-09-30,1.768959780121059,100.64299999999999,0.0
1972-10-31,1.6158864798392747,100.4103,0.0
1972-11-30,1.3743370761495433,100.1078,0.0
1972-12-31,1.1528493585712225,99.78336999999999,0.0
1973-01-31,0.8988102971497165,99.48389,0.0
1973-02-28,0.8806960755584612,99.24095,0.0
1973-03-31,0.43887796893342296,99.03194,0.0
1973-04-30,0.22100741342024927,98.83447,0.0
1973-05-31,0.29630509829695306,98.64689,0.0
1973-06-30,-0.5248048773104292,98.49733,0.0
1973-07-31,-1.1590832123418933,98.4389,0.0
1973-08-31,-1.5873826468581012,98.50697,0.0
1973-09-30,-1.4950408036632084,98.58525999999999,0.0
1973-10-31,-0.6663604993127343,98.51086,0.0
1973-11-30,-1.3690504561534151,98.16905,0.0
1973-12-31,-0.9584489858317956,97.74072,1.0
1974-01-31,-1.0457454028328037,98.2202,1.0
1974-02-28,-0.3911940457251744,98.25825999999999,1.0
1974-03-31,-1.0262786330737024,98.45735,1.0
1974-04-30,-1.1173553947182864,98.61856999999999,1.0
1974-05-31,-0.9415853022333796,98.581375,1.0
1974-06-30,-0.63293111609332,98.39961,1.0
1974-07-31,0.006205641273243856,98.167075,1.0
1974-08-31,-1.254965075669384,97.95154000000001,1.0
1974-09-30,-0.3019014170372269,97.7644,1.0
1974-10-31,0.19101891954789707,97.61351,1.0
1974-11-30,-0.03951371777590307,97.526215,1.0
1974-12-31,0.04726170353910232,97.52120500000001,1.0
1975-01-31,1.0510074134202494,97.656615,1.0
1975-02-28,1.734990774517951,97.9763,1.0
1975-03-31,2.0854173036311403,98.37575,1.0
1975-04-30,2.4602636639748843,98.73298,0.0
1975-05-31,2.686319563045563,98.953275,0.0
1975-06-30,2.3717511205421182,99.069665,0.0
1975-07-31,1.7470400429770532,99.130615,0.0
1975-08-31,1.7625045038736131,99.15556,0.0
1975-09-30,1.8134578823338063,99.19242,0.0
1975-10-31,2.0047919038040884,99.305755,0.0
1975-11-30,2.4158432982210245,99.54120999999999,0.0
1975-12-31,2.407541932169477,99.83033,0.0
1976-01-31,2.74081981436478,100.06794000000001,0.0
1976-02-29,2.7804263481299314,100.16942,0.0
1976-03-31,2.5956632437754963,100.19572,0.0
1976-04-30,2.571212748616756,100.23409,0.0
1976-05-31,2.557554297037729,100.33975500000001,0.0
1976-06-30,2.298810297149717,100.465,0.0
1976-07-31,2.4563195630455628,100.54145,0.0
1976-08-31,2.4900093661365763,100.51965,0.0
1976-09-30,2.372445244095569,100.4437,0.0
1976-10-31,2.3588471625448504,100.3708,0.0
1976-11-30,2.415499926197188,100.34675,0.0
1976-12-31,2.410547941742747,100.3651,0.0
1977-01-31,2.4704836819321647,100.4131,0.0
1977-02-28,2.598577476955043,100.47295,0.0
1977-03-31,2.7412424468964125,100.5211,0.0
1977-04-30,2.7135060019344217,100.5415,0.0
1977-05-31,2.367259461965353,100.53475,0.0
1977-06-30,2.124861939758908,100.52795,0.0
1977-07-31,1.9979648083144124,100.5117,0.0
1977-08-31,1.7554173036311402,100.4643,0.0
1977-09-30,1.3615030239948993,100.40353499999999,0.0
1977-10-31,1.1756559584462956,100.35429,0.0
1977-11-30,1.298419293043569,100.33104,0.0
1977-12-31,1.4397937097628244,100.328775,0.0
1978-01-31,1.3225045038736123,100.324215,0.0
1978-02-28,1.3820270069931837,100.272615,0.0
1978-03-31,1.5596023666287389,100.17201999999999,0.0
1978-04-30,1.66960236662874,100.1676,0.0
1978-05-31,1.7439337639965782,100.18874,0.0
1978-06-30,1.5184383160527837,100.17071999999999,0.0
1978-07-31,1.4044265370061562,100.16166,0.0
1978-08-31,1.1008573775332549,100.10282,0.0
1978-09-30,0.2998435057877629,100.04961999999999,0.0
1978-10-31,0.3720402541213659,99.884465,0.0
1978-11-30,-0.1455900875112448,99.58614,0.0
1978-12-31,-0.4123755690327897,99.305265,0.0
1979-01-31,-0.6093386326554135,99.265015,0.0
1979-02-28,-0.5774340376674036,99.250965,0.0
1979-03-31,-0.7276491661856976,99.12038000000001,0.0
1979-04-30,-0.6463645609995029,98.97944,0.0
1979-05-31,-0.7360528636041792,98.865825,0.0
1979-06-30,-0.491134993236777,98.69257,0.0
1979-07-31,-0.6423793401207547,98.529515,0.0
1979-08-31,-0.8602249920873657,98.51193,0.0
1979-09-30,-1.3494721091508255,98.496925,0.0
1979-10-31,-1.9240255558131736,98.392365,0.0
1979-11-30,-1.6709449622370691,98.323125,0.0
