Date,CCI Value,Spread,Value of Copper,NBER_Rec
1970-12-31,98.74387,1.3908198143647788,1029.989309090909,0.0
1971-01-31,98.92701,1.6872361470234258,1000.5609000000001,0.0
1971-02-28,99.06342,2.3231939556911447,1034.4474,0.0
1971-03-31,99.16283,2.243523807015607,1160.5497391304348,0.0
1971-04-30,99.24342,1.8778266553039464,1240.6840761904766,0.0
1971-05-31,99.31329000000001,2.148108606567731,1124.4256999999998,0.0
1971-06-30,99.37062,1.6454999261971874,1091.9617818181816,0.0
1971-07-31,99.40685,1.1792320170324944,1135.532285714286,0.0
1971-08-31,99.42241999999999,1.5080543767928738,1108.9368000000002,0.0
1971-09-30,99.4637,1.3278112770818256,1076.5490476190475,0.0
1971-10-31,99.60351,1.3564943611504583,1056.934,0.0
1971-11-30,99.89603000000001,1.4852558823314703,1018.6226800000001,0.0
1971-12-31,100.2331,1.8226720824894789,1045.1368,0.0
1972-01-31,100.4671,2.493523807015607,1086.257142857143,0.0
1972-02-29,100.4896,2.8090975893897308,1112.77756,0.0
1972-03-31,100.4121,2.25219787288874,1162.4000952380952,0.0
1972-04-30,100.3828,2.392862455376658,1137.17584,0.0
1972-05-31,100.5019,2.353524928773132,1113.1201818181817,0.0
1972-06-30,100.6896,2.106121668075498,1068.1686,0.0
1972-07-31,100.8212,2.03371250542261,1063.72,0.0
1972-08-31,100.7926,2.0923242179278434,1078.4938608695652,0.0
1972-09-30,100.64299999999999,1.768959780121059,1088.776,0.0
1972-10-31,100.4103,1.6158864798392747,1058.1954999999998,0.0
1972-11-30,100.1078,1.3743370761495433,1031.43894,0.0
1972-12-31,99.78336999999999,1.1528493585712225,1065.2164,0.0
1973-01-31,99.48389,0.8988102971497165,1156.4702857142856,0.0
1973-02-28,99.24095,0.8806960755584612,1266.0878000000002,0.0
1973-03-31,99.03194,0.43887796893342296,1459.7492727272727,0.0
1973-04-30,98.83447,0.22100741342024927,1548.24388,0.0
1973-05-31,98.64689,0.29630509829695306,1505.983181818182,0.0
1973-06-30,98.49733,-0.5248048773104292,1671.251219047619,0.0
1973-07-31,98.4389,-1.1590832123418933,1900.635142857143,0.0
1973-08-31,98.50697,-1.5873826468581012,1930.2057043478258,0.0
1973-09-30,98.58525999999999,-1.4950408036632084,1741.2760000000003,0.0
1973-10-31,98.51086,-0.6663604993127343,1943.0359047619047,0.0
1973-11-30,98.16905,-1.3690504561534151,2154.7846799999998,0.0
1973-12-31,97.74072,-0.9584489858317956,2028.7124000000001,1.0
1974-01-31,98.2202,-1.0457454028328037,1958.5545454545456,1.0
1974-02-28,98.25825999999999,-0.3911940457251744,2321.081377777778,1.0
1974-03-31,98.45735,-1.0262786330737024,2553.0716190476196,1.0
1974-04-30,98.61856999999999,-1.1173553947182864,2838.6680380952375,1.0
1974-05-31,98.581375,-0.9415853022333796,2657.222545454546,1.0
1974-06-30,98.39961,-0.63293111609332,2268.64332,1.0
1974-07-31,98.167075,0.006205641273243856,1914.274181818182,1.0
1974-08-31,97.95154000000001,-1.254965075669384,1767.4877818181812,1.0
1974-09-30,97.7644,-0.3019014170372269,1444.3914,1.0
1974-10-31,97.61351,0.19101891954789707,1364.8770909090906,1.0
1974-11-30,97.526215,-0.03951371777590307,1346.7664444444447,1.0
1974-12-31,97.52120500000001,0.04726170353910232,1226.7254095238095,1.0
1975-01-31,97.656615,1.0510074134202494,1162.209272727273,1.0
1975-02-28,97.9763,1.734990774517951,1221.5792444444446,1.0
1975-03-31,98.37575,2.0854173036311403,1316.2288,1.0
1975-04-30,98.73298,2.4602636639748843,1282.6879272727272,0.0
1975-05-31,98.953275,2.686319563045563,1229.8320000000003,0.0
1975-06-30,99.069665,2.3717511205421182,1173.1367238095238,0.0
1975-07-31,99.130615,1.7470400429770532,1267.0996363636366,0.0
1975-08-31,99.15556,1.7625045038736131,1307.0979428571427,0.0
1975-09-30,99.19242,1.8134578823338063,1262.9969523809523,0.0
1975-10-31,99.305755,2.0047919038040884,1214.404,0.0
1975-11-30,99.54120999999999,2.4158432982210245,1203.4877176470588,0.0
1975-12-31,99.83033,2.407541932169477,1188.480761904762,0.0
1976-01-31,100.06794000000001,2.74081981436478,1231.6161904761907,0.0
1976-02-29,100.16942,2.7804263481299314,1255.468,0.0
1976-03-31,100.19572,2.5956632437754963,1363.2219130434783,0.0
