,Date,Value of Copper in Dollars per Tonne
193,1960-04-08,654.588
194,1960-04-11,658.3348000000001
195,1960-04-12,660.9796
196,1960-04-13,664.9468
197,1960-04-14,659.8776
198,1960-04-18,659.2163999999999
199,1960-04-19,658.3348000000001
200,1960-04-20,662.0816
201,1960-04-21,670.8976
202,1960-04-22,683.0196
203,1960-04-25,687.4276
204,1960-04-26,671.5588
205,1960-04-27,671.7792000000001
206,1960-04-28,658.3348000000001
207,1960-04-29,648.6372
208,1960-05-02,645.9924000000001
209,1960-05-03,658.996
210,1960-05-04,651.2819999999999
211,1960-05-05,647.976
212,1960-05-06,642.466
213,1960-05-09,644.8904000000001
214,1960-05-10,644.67
215,1960-05-11,644.67
216,1960-05-12,645.7719999999999
217,1960-05-13,640.9232
218,1960-05-16,641.1436
219,1960-05-17,654.3676
220,1960-05-18,653.0452
221,1960-05-19,658.3348000000001
222,1960-05-20,668.914
223,1960-05-23,671.7792000000001
224,1960-05-24,661.1999999999999
225,1960-05-25,653.2656
226,1960-05-26,653.486
227,1960-05-27,653.9268000000001
228,1960-05-31,663.404
229,1960-06-01,669.3548000000001
230,1960-06-02,685.0032
231,1960-06-03,684.5624
232,1960-06-06,692.2764
233,1960-06-07,685.444
234,1960-06-08,679.7136
235,1960-06-09,685.8847999999999
236,1960-06-10,688.5296000000001
237,1960-06-13,691.1744
238,1960-06-14,709.688
239,1960-06-15,702.1944
240,1960-06-16,697.566
241,1960-06-17,703.5168
242,1960-06-20,696.464
243,1960-06-21,701.974
244,1960-06-22,694.7008
245,1960-06-23,690.954
246,1960-06-24,682.5788
247,1960-06-27,680.5952000000001
248,1960-06-28,679.7136
249,1960-06-29,677.5096
250,1960-06-30,673.1016
251,1960-07-01,667.3712
252,1960-07-05,663.8448000000001
253,1960-07-06,667.3712
254,1960-07-07,667.1508
255,1960-07-08,677.5096
256,1960-07-11,687.4276
257,1960-07-12,679.934
258,1960-07-13,683.6808
259,1960-07-14,680.1544
260,1960-07-15,673.322
261,1960-07-18,677.9504
262,1960-07-19,673.9832
263,1960-07-20,682.3584
264,1960-07-21,681.036
265,1960-07-22,677.5096
266,1960-07-25,676.1872000000001
267,1960-07-26,678.832
268,1960-07-27,680.5952000000001
269,1960-07-28,676.8484
270,1960-07-29,677.0687999999999
271,1960-08-01,679.7136
272,1960-08-02,677.73
273,1960-08-03,678.1708
274,1960-08-04,674.2036
275,1960-08-05,673.9832
276,1960-08-08,668.914
277,1960-08-09,668.914
278,1960-08-10,667.1508
279,1960-08-11,666.0488
280,1960-08-12,666.71
281,1960-08-15,662.5224
282,1960-08-16,666.71
283,1960-08-17,667.812
284,1960-08-18,669.3548000000001
285,1960-08-19,671.1179999999999
286,1960-08-22,664.9468
287,1960-08-23,666.9304
288,1960-08-24,668.914
289,1960-08-25,669.5752
290,1960-08-26,664.0652
291,1960-08-29,659.4368000000001
292,1960-08-30,653.9268000000001
293,1960-08-31,645.5516
294,1960-09-01,645.9924000000001
295,1960-09-02,645.7719999999999
296,1960-09-06,644.67
297,1960-09-07,642.9068000000001
298,1960-09-08,637.8376
299,1960-09-09,636.9559999999999
300,1960-09-12,637.3968
301,1960-09-13,638.058
302,1960-09-14,642.0252
303,1960-09-15,643.7884
304,1960-09-16,647.3148
305,1960-09-19,637.6172
306,1960-09-20,641.8048
307,1960-09-21,644.67
308,1960-09-22,640.262
309,1960-09-23,639.3804
310,1960-09-26,635.1928
311,1960-09-27,635.4132
312,1960-09-28,634.752
313,1960-09-29,631.8868
314,1960-09-30,634.9724000000001
315,1960-10-03,626.3768
316,1960-10-04,622.63
317,1960-10-05,622.63
318,1960-10-06,621.0871999999999
319,1960-10-07,621.3076
320,1960-10-10,625.7156
321,1960-10-11,621.9688
322,1960-10-12,612.7120000000001
323,1960-10-13,612.7120000000001
324,1960-10-14,614.6956
325,1960-10-17,616.2384000000001
326,1960-10-18,610.7284000000001
327,1960-10-19,610.0672
328,1960-10-20,617.5608
329,1960-10-21,609.6264
330,1960-10-24,610.508
331,1960-10-25,611.8304
332,1960-10-26,611.3896
333,1960-10-27,614.6956
334,1960-10-28,612.7120000000001
335,1960-10-31,613.1528
336,1960-11-01,616.2384000000001
337,1960-11-02,621.5279999999999
338,1960-11-03,622.8504
339,1960-11-04,621.0871999999999
340,1960-11-07,626.3768
341,1960-11-09,630.7848
342,1960-11-10,625.4952
343,1960-11-11,624.1728
344,1960-11-14,616.018
345,1960-11-15,622.1892
346,1960-11-16,616.018
347,1960-11-17,618.0015999999999
348,1960-11-18,618.0015999999999
349,1960-11-21,625.9359999999999
350,1960-11-22,624.834
351,1960-11-23,621.0871999999999
352,1960-11-25,619.9852
353,1960-11-28,618.6628000000001
354,1960-11-29,616.018
355,1960-11-30,618.2220000000001
356,1960-12-01,621.3076
357,1960-12-02,620.8668
358,1960-12-05,623.2912
359,1960-12-06,623.732
360,1960-12-07,618.4424
361,1960-12-08,620.2056
362,1960-12-09,620.4259999999999
363,1960-12-12,620.2056
364,1960-12-13,615.1364
365,1960-12-14,612.4916
366,1960-12-15,606.7612
367,1960-12-16,608.3040000000001
368,1960-12-19,607.6428
369,1960-12-20,610.9488
370,1960-12-21,612.7120000000001
371,1960-12-22,615.5772
372,1960-12-23,615.1364
373,1960-12-27,613.5935999999999
374,1960-12-28,609.1855999999999
375,1960-12-29,609.8468
376,1960-12-30,611.1691999999999
377,1961-01-03,609.8468
378,1961-01-04,604.998
379,1961-01-05,608.3040000000001
380,1961-01-06,608.9652
381,1961-01-09,595.3004
382,1961-01-10,594.1984
383,1961-01-11,588.9087999999999
384,1961-01-12,591.5536000000001
385,1961-01-13,595.5208
386,1961-01-16,589.57
387,1961-01-17,597.0636
388,1961-01-18,603.8960000000001
389,1961-01-19,601.0308
390,1961-01-20,600.8104000000001
391,1961-01-23,606.1
392,1961-01-24,603.2348
393,1961-01-25,597.0636
394,1961-01-26,597.9452
395,1961-01-27,600.8104000000001
396,1961-01-30,607.6428
397,1961-01-31,603.6755999999999
398,1961-02-01,607.202
399,1961-02-02,610.0672
400,1961-02-03,609.4060000000001
401,1961-02-06,612.7120000000001
402,1961-02-07,613.8140000000001
403,1961-02-08,613.1528
404,1961-02-09,613.3732
405,1961-02-10,616.2384000000001
406,1961-02-13,618.8832
407,1961-02-14,623.2912
408,1961-02-15,625.0544
409,1961-02-16,621.7484000000001
410,1961-02-17,627.0379999999999
411,1961-02-20,632.1072
412,1961-02-21,633.4295999999999
413,1961-02-23,634.5316
414,1961-02-24,640.4824000000001
415,1961-02-27,633.4295999999999
416,1961-02-28,631.6664000000001
417,1961-03-01,627.4788
418,1961-03-02,632.1072
419,1961-03-03,630.3439999999999
420,1961-03-06,634.3112
421,1961-03-07,632.3276
422,1961-03-08,630.5644000000001
423,1961-03-09,626.3768
424,1961-03-10,625.9359999999999
425,1961-03-13,625.2748
426,1961-03-14,626.8176
427,1961-03-15,629.242
428,1961-03-16,630.3439999999999
429,1961-03-17,640.9232
430,1961-03-20,639.16
431,1961-03-21,635.8539999999999
432,1961-03-22,634.752
433,1961-03-23,637.6172
434,1961-03-24,637.3968
435,1961-03-27,626.3768
436,1961-03-28,628.14
437,1961-03-29,628.14
438,1961-03-30,629.6828
439,1961-04-03,628.8012
440,1961-04-04,633.65
441,1961-04-05,633.65
442,1961-04-06,639.16
443,1961-04-07,645.3312
444,1961-04-10,648.6372
445,1961-04-11,650.4004
446,1961-04-12,657.894
447,1961-04-13,656.1308
448,1961-04-14,651.7228
449,1961-04-17,654.8083999999999
450,1961-04-18,658.5552
451,1961-04-19,648.8575999999999
452,1961-04-20,653.7063999999999
453,1961-04-21,654.588
454,1961-04-24,658.5552
455,1961-04-25,658.3348000000001
456,1961-04-26,663.404
457,1961-04-27,673.7628000000001
458,1961-04-28,669.5752
459,1961-05-01,674.424
460,1961-05-02,675.3056
461,1961-05-03,681.9176
462,1961-05-04,679.2728
463,1961-05-05,688.0888
464,1961-05-08,688.75
465,1961-05-09,687.648
466,1961-05-10,689.4112
467,1961-05-11,686.546
468,1961-05-12,690.954
469,1961-05-15,699.3292
470,1961-05-16,704.8391999999999
471,1961-05-17,702.8556
472,1961-05-18,703.076
473,1961-05-19,707.484
474,1961-05-22,717.8428
475,1961-05-23,717.402
476,1961-05-24,722.0304
477,1961-05-25,706.8227999999999
478,1961-05-26,711.2307999999999
479,1961-05-31,700.4312000000001
480,1961-06-01,693.3783999999999
481,1961-06-02,697.3456
482,1961-06-05,689.1908
483,1961-06-06,684.7828
484,1961-06-07,675.3056
485,1961-06-08,679.934
486,1961-06-09,684.342
487,1961-06-12,672.4404
488,1961-06-13,671.7792000000001
489,1961-06-14,670.2364
490,1961-06-15,665.1672
491,1961-06-16,657.2328
492,1961-06-19,654.588
493,1961-06-20,664.2856
494,1961-06-21,671.5588
495,1961-06-22,671.5588
496,1961-06-23,672.6608000000001
497,1961-06-26,671.7792000000001
498,1961-06-27,673.7628000000001
499,1961-06-28,683.6808
500,1961-06-29,678.3912
501,1961-06-30,675.526
502,1961-07-03,662.7428000000001
503,1961-07-05,666.2692000000001
504,1961-07-06,659.8776
505,1961-07-07,666.2692000000001
506,1961-07-10,666.71
507,1961-07-11,668.6936000000001
508,1961-07-12,665.8284
509,1961-07-13,666.2692000000001
510,1961-07-14,666.71
511,1961-07-17,670.8976
512,1961-07-18,666.71
513,1961-07-19,665.1672
514,1961-07-20,672.22
515,1961-07-21,675.526
516,1961-07-24,676.628
517,1961-07-25,671.9996
518,1961-07-26,673.322
519,1961-07-27,673.7628000000001
520,1961-07-28,675.3056
521,1961-07-31,678.1708
522,1961-08-01,669.3548000000001
523,1961-08-02,669.3548000000001
524,1961-08-03,667.1508
525,1961-08-04,670.016
526,1961-08-07,675.0852
527,1961-08-08,673.5423999999999
528,1961-08-09,673.5423999999999
529,1961-08-10,671.5588
530,1961-08-11,674.8648000000001
531,1961-08-14,674.424
532,1961-08-15,673.322
533,1961-08-16,677.73
534,1961-08-17,679.2728
535,1961-08-18,678.3912
536,1961-08-21,683.6808
537,1961-08-22,682.7992
538,1961-08-23,680.3747999999999
539,1961-08-24,676.8484
540,1961-08-25,681.4767999999999
541,1961-08-28,686.3256
542,1961-08-29,688.3092
543,1961-08-30,688.3092
544,1961-08-31,691.1744
545,1961-09-01,692.9376
546,1961-09-05,693.8192
547,1961-09-06,691.1744
548,1961-09-07,686.3256
549,1961-09-08,684.342
